Order_ID,Expected_Delivery_Time
ialx566343618,117
akqg208421122,163
njpu434582536,128
rjto796129700,103
zguw716275638,150
fxuu788413734,133
njmo150975311,197
jvjc772545076,163
uaeb808891380,169
bgvc052754213,228
vmau710398846,113
lcwn330553507,106
wcjs752046999,98
blhl288691670,207
zyvo118176215,101
uhfs888375680,30
vmfv999642595,201
qfgc848777135,207
vwmc439983136,78
ntzy027061451,181
pbjm971961647,133
kjic578711491,75
rkzt648036688,192
segh259958026,170
owvs520891091,77
edrh271340988,93
qvfd540651807,192
gzfn634029300,238
xjps180812498,59
ahpg083217029,131
itii428784576,111
asis944862845,108
xzkg140273315,124
zotl583816092,32
agoo012263585,150
ezif478391605,109
tixw400453550,49
mrfx777445506,93
czjt755903822,54
zqtj827550147,55
luka250567007,140
zkat983341391,33
ydhu273019158,262
rpuq263118672,110
nvck471535045,19
rxgx102974679,57
ikas794013321,127
dsyl658069912,129
wzoc344425774,87
dwnh519656346,81
yakw330215137,112
dcdm719150402,77
fris321432357,177
mxuw713526914,77
carl449634661,93
msnw786727644,133
bbow373480117,243
vizd072469706,99
etss702593505,175
rxxx129114996,89
bull762076829,110
fpkv432118410,168
udpq945815554,118
qeqp930384577,86
cwvq091479872,69
ivtf765857546,150
emlt327861941,14
rufz727804632,77
gkrb550339468,179
tsec016509855,92
xczs106918282,84
lgee738117860,73
nxfs257449148,82
wycd588946822,48
bhdi726355812,138
wnbv620439671,184
jvco758418006,217
zkks967394571,140
oiyh656906407,210
dfit633531471,122
qhxw976953297,192
mryb985330207,97
jzam829230168,155
xnod694467359,68
hcno407153953,139
gyjc869072111,95
wkqq813752515,208
vdfj488526028,115
pngq326709686,196
caja224507886,122
hnme204254454,73
uehx759760979,74
sdod930462581,76
visy471360404,72
wddq796276216,60
pqya338067587,146
last796029882,100
mzyt873581742,197
kbhb286226770,94
okvp821614347,17
oska955853002,85
rgwl479077727,76
tmzv371880726,97
ofxt601212694,148
lbui872023073,110
ixfk439251990,208
njfz936670348,58
drir663128253,170
drdr957134932,115
qrzj427928057,76
hkit681446136,119
imnm972342448,183
wnne890905509,117
kbdc711046313,62
alem833315854,82
khjm619520065,209
oiay843077855,88
ohhc448549441,126
knul324217390,194
buux572471968,89
ieue797662723,141
eztk468187811,89
zzid436960558,92
kllk327072475,248
uurs547552548,78
ubwl989345056,105
iimu721647260,115
